ID	PThresh	OR	Pvalue	Beta	SE	CI95_lower	CI95_upper	NAnnotThesh	NAnnot	NThresh	N	linkID	Annotation	GWAS	logpval	SEmin	SEmax
2	0.001	0.93809179140231	0.637434271624184	-0.0639074761258997	0.1356014196678	-0.329686258674787	0.201871306422988	137	538	514	2124	1	NEU hCRD	PC	0.195564590411794	0.80249037173451	1.07369321107011
2	1e-04	0.931702765121381	0.636927311171394	-0.0707414367064197	0.14987615770344	-0.364498705805163	0.223015832392323	101	538	382	2124	1	NEU hCRD	PC	0.195910128352951	0.781826607417941	1.08157892282482
2	1e-05	1.04379556391836	0.7985564179482	0.0428636502836377	0.167950604964315	-0.286319535446419	0.372046836013694	78	538	277	2124	1	NEU hCRD	PC	0.0976943955705442	0.875844958954045	1.21174616888267
2	5e-08	1.01504079067466	0.939909920626411	0.01492879954305	0.198039127928455	-0.373227891196723	0.403085490282823	52	538	192	2124	1	NEU hCRD	PC	0.0269137664529259	0.817001662746205	1.21307991860311
2	1e-09	0.897514811647888	0.622233968360426	-0.108125655527035	0.219461278261884	-0.538269760920328	0.322018449866258	42	538	159	2124	1	NEU hCRD	PC	0.206046284019963	0.678053533386004	1.11697608990977
3	0.01	0.8583158670254	0.428694679447779	-0.152783103856077	0.193047551204102	-0.531156304216117	0.225590096503962	57	165	773	2124	2	TCL hCRD	PC	0.367851906507583	0.665268315821298	1.0513634182295
3	0.001	0.926333944917066	0.716970548836717	-0.076520477688026	0.211084835624278	-0.49024675551161	0.337205800135558	43	165	514	2124	2	TCL hCRD	PC	0.144498683579612	0.715249109292788	1.13741878054134
3	1e-04	0.872931401130761	0.563550886209552	-0.135898304545252	0.235291059541223	-0.59706878124605	0.325272172155546	30	165	382	2124	2	TCL hCRD	PC	0.249066862932455	0.637640341589538	1.10822246067198
3	1e-05	0.801843915416593	0.416675118734286	-0.220841309237699	0.271904056539958	-0.753773260056016	0.312090641580619	22	165	277	2124	2	TCL hCRD	PC	0.38020243215377	0.529939858876635	1.07374797195655
3	5e-08	0.804259223477359	0.493714972251977	-0.21783364450805	0.318278478537219	-0.841659462441	0.4059921734249	15	165	192	2124	2	TCL hCRD	PC	0.306523702296734	0.48598074494014	1.12253770201458
3	1e-09	0.903581436331553	0.761836058250518	-0.10138903872111	0.334539339796226	-0.757086144721712	0.554308067279492	14	165	159	2124	2	TCL hCRD	PC	0.118138475717309	0.569042096535327	1.23812077612778
1	0.01	1.03080839226472	0.793096606567416	0.0303433412692521	0.115685506547195	-0.19640025156325	0.257086934101754	243	712	735	2146	0	MON hCRD	RBC	0.100673908339719	0.915122885717525	1.14649389881192
1	0.001	0.97376057688507	0.839262907436537	-0.0265898198432609	0.131089982141396	-0.283526184840398	0.230346545153876	163	712	482	2146	0	MON hCRD	RBC	0.0761019708004057	0.842670594743674	1.10485055902647
